Name ,Series ID,Source,,,,,,,,,
RGDP,A2304402X,Australian Bureau of Statistics ,Abbreviations used for each series and their Australian Bureau of Statistics or Reserve Bank of Australia Series ID. Data on the AllOrds were obtained from Yahoo Finance ,,,,,,,,
Cons_Food,A2303246R,Australian Bureau of Statistics ,,,,,,,,,
Cons_CigTob,A2303248V,Australian Bureau of Statistics ,,,,,,,,,
Cons_Alc,A2303250F,Australian Bureau of Statistics ,,,,,,,,,
Cons_CloFoo,A2303252K,Australian Bureau of Statistics ,,,,,,,,,
Cons_RenDwe,A2303254R,Australian Bureau of Statistics ,,,,,,,,,
Cons_EGF,A2303256V,Australian Bureau of Statistics ,,,,,,,,,
Cons_FurEqu,A2303258X,Australian Bureau of Statistics ,,,,,,,,,
Cons_Hea,A2303260K,Australian Bureau of Statistics ,,,,,,,,,
Cons_PurVeh,A2303262R,Australian Bureau of Statistics ,,,,,,,,,
Cons_OpeVeh,A2303264V,Australian Bureau of Statistics ,,,,,,,,,
Cons_TraSer,A2303266X,Australian Bureau of Statistics ,,,,,,,,,
Cons_Com,A2303268C,Australian Bureau of Statistics ,,,,,,,,,
Cons_RecCul,A2303270R,Australian Bureau of Statistics ,,,,,,,,,
Cons_Edu,A2303272V,Australian Bureau of Statistics ,,,,,,,,,
Cons_HCR,A2303274X,Australian Bureau of Statistics ,,,,,,,,,
Cons_InsFin,A2303276C,Australian Bureau of Statistics ,,,,,,,,,
Cons_Other,A2303278J,Australian Bureau of Statistics ,,,,,,,,,
Cons_Final,A2303280V,Australian Bureau of Statistics ,,,,,,,,,
FixInv,A2304051J,Australian Bureau of Statistics ,,,,,,,,,
ResInv,A2304054R,Australian Bureau of Statistics ,,,,,,,,,
NResInv-Equip,A2304041C,Australian Bureau of Statistics ,,,,,,,,,
NResInv-CBR,A2716097C,Australian Bureau of Statistics ,,,,,,,,,
NResInv-lPP,A2716583K,Australian Bureau of Statistics ,,,,,,,,,
Exports,A2304114F,Australian Bureau of Statistics ,,,,,,,,,
Imports,A2304115J,Australian Bureau of Statistics ,,,,,,,,,
Gov,A2304080V,Australian Bureau of Statistics ,,,,,,,,,
Gov Nat,A2304078J,Australian Bureau of Statistics ,,,,,,,,,
Gov Nat/Loc,A2304079K,Australian Bureau of Statistics ,,,,,,,,,
DomSales,A2302599C,Australian Bureau of Statistics ,,,,,,,,,
IP_Mining,A2716600A,Australian Bureau of Statistics ,,,,,,,,,
IP_Man,A2716601C,Australian Bureau of Statistics ,,,,,,,,,
IP_EGWWS,A2716610F,Australian Bureau of Statistics ,,,,,,,,,
IP_TotalInd,A2298671X,Australian Bureau of Statistics ,,,,,,,,,
IP_FBT,A2716602F,Australian Bureau of Statistics ,,,,,,,,,
IP_TCO,A2716608V,Australian Bureau of Statistics ,,,,,,,,,
IP_WPP,A2716609W,Australian Bureau of Statistics ,,,,,,,,,
