People ID,Full name,First Name,Last Name,Affiliation
PPL0001,Gregory Mankiw,,,Harvard University
PPL0002,David Weil,,,Harvard University
PPL0003,Robert J. Shiller ,,,Yale University
PPL0004,Karl Edwin Case ,,,Wellesley College
PPL0005,Richard K. Green ,,,
PPL0006,Hyojung Lee ,,,
PPL0007,"Weathon, W",,,
PPL0008,"Zhu, B",,,
PPL0009,"Betzinger, M.",,,
PPL0010,"Sebastian, S",,,
PPL0011,"Wulff, M",,,
PPL0012,"Reynolds, M",,,
PPL0013,"Arunachalam, D.",,,
PPL0014,"Hulse, K. ",,,
PPL0015,"Yates, J. ",,,
PPL0016,"Wood, G.",,,
PPL0017,"Ong, R. ",,,
PPL0018,"Cigdem, M. ",,,
PPL0019,"Wang, Z.",,,
PPL0020,"Zhang, Q. ",,,
PPL0021,"Tsatasaronis, K.",,,
PPL0022,H. Zhu,,,
PPL0023,"Tai, M.-Y.",,,
PPL0024,"Hu, S.-W",,,
PPL0025,"Chao, C.-C",,,
PPL0026,"Wang, V. ",,,
PPL0027,"Slack, E. ",,,
PPL0028,"Bird, R.M. ",,,
PPL0029,Richard Messe,,,
PPL0030,Nancy Wallace,,,
PPL0031,Richard K. Green ,,,
PPL0032,Hyojung Lee ,,,
PPL0033,Zhi Wang,,,
PPL0034,Qinghua Zhang,,,
PPL0035,Bin Jiang ,,,
PPL0036,George Athanasopoulos ,,,
PPL0037,Rob J Hyndman ,,,
PPL0038,Anastasios Panagiotelis ,,,
PPL0039,Farshid Vahid ,,,
PPL0040,,,,
PPL0041,,,,
PPL0042,,,,
PPL0043,,,,
PPL0044,,,,
PPL0045,,,,
PPL0046,,,,
PPL0047,,,,
PPL0048,,,,
PPL0049,,,,
PPL0050,,,,
PPL0051,,,,
PPL0052,,,,
PPL0053,,,,
PPL0054,,,,
PPL0055,,,,
PPL0056,,,,
