variable ID,name,Measure ID,Concept 1,Concept 2,Concept 3,Concept 4,Concept 5,Concept 6,Concept 7,Concept 8,Concept 9,Concept 10
VID01,CVM (Chain Volume Measure) Household Cons Food ,MonashBS_MIDA2304402X,Macroeconomic,,,,,,,,,
VID02,CVM (Chain Volume Measure) Household Cons Food ,MonashBS_MIDA2303246R,Macroeconomic,,,,,,,,,
VID03,CVM Household Cons Cigarettes and tobacco,MonashBS_MIDA2303248V,Macroeconomic,,,,,,,,,
VID04,CVM Household Cons Alcoholic beverages,MonashBS_MIDA2303250F,Macroeconomic,,,,,,,,,
VID05,CVM Household Cons Clothing and footwear ,MonashBS_MIDA2303252K,Macroeconomic,,,,,,,,,
VID06,CVM Household Cons Rent and other dwelling services,MonashBS_MIDA2303254R,Macroeconomic,,,,,,,,,
VID07,"CVM Household Cons Electricity, gas and other fuel",MonashBS_MIDA2303256V,Macroeconomic,,,,,,,,,
VID08,CVM Household Cons Furnishings and household equipment ,MonashBS_MIDA2303258X,Macroeconomic,,,,,,,,,
VID09,CVM Household Cons Health,MonashBS_MIDA2303260K,Macroeconomic,,,,,,,,,
VID10,CVM Household Cons Purchase of vehicles,MonashBS_MIDA2303262R,Macroeconomic,,,,,,,,,
VID11,CVM Household Cons Operation of vehicles,MonashBS_MIDA2303264V,Macroeconomic,,,,,,,,,
VID12,CVM Household Cons Transport services,MonashBS_MIDA2303266X,Macroeconomic,,,,,,,,,
VID13,CVM Household Cons Communications,MonashBS_MIDA2303268C,Macroeconomic,,,,,,,,,
VID14,CVM Household Cons Recreation and culture,MonashBS_MIDA2303270R,Macroeconomic,,,,,,,,,
VID15,CVM Household Cons Education services,MonashBS_MIDA2303272V,Macroeconomic,,,,,,,,,
VID16,"CVM Household Cons Hotels, cafes and restaurants",MonashBS_MIDA2303274X,Macroeconomic,,,,,,,,,
VID17,CVM Household Cons Insurance and other financial services ,MonashBS_MIDA2303276C,Macroeconomic,,,,,,,,,
VID18,CVM Household Cons Other goods and services,MonashBS_MIDA2303278J,Macroeconomic,,,,,,,,,
VID19,Gross fixed capital formation-Dwellings,MonashBS_MIDA2303280V,Macroeconomic,,,,,,,,,
VID20,Gross fixed capital formation-Machinery and equipment ,MonashBS_MIDA2304051J,Macroeconomic,,,,,,,,,
VID21,Gross fixed capital formation-Cultivated biological resources ,MonashBS_MIDA2304054R,Macroeconomic,,,,,,,,,
VID22,Gross fixed capital formation-Intellectual property products ,MonashBS_MIDA2304041C,Macroeconomic,,,,,,,,,
VID23,Government-National; Final Cons. expenditure ,MonashBS_MIDA2716097C,Macroeconomic,,,,,,,,,
VID24,Government-State and local; Final Cons. expenditure,MonashBS_MIDA2716583K,Macroeconomic,,,,,,,,,
VID25,Mining excluding exploration and mining support services ,MonashBS_MIDA2304114F,Macroeconomic,,,,,,,,,
VID26,Manufacturing,MonashBS_MIDA2304115J,Macroeconomic,,,,,,,,,
VID27,"Electricity, gas, water and waste services",MonashBS_MIDA2304080V,Macroeconomic,,,,,,,,,
VID28,"Food, beverage and tobacco products",MonashBS_MIDA2304078J,Macroeconomic,,,,,,,,,
VID29,"Textile, clothing and other manufacturing",MonashBS_MIDA2304079K,Macroeconomic,,,,,,,,,
VID30,Wood and paper products,MonashBS_MIDA2302599C,Macroeconomic,,,,,,,,,
VID31,Printing and recorded media,MonashBS_MIDA2716600A,Macroeconomic,,,,,,,,,
VID32,"Petroleum, coal, chemical and rubber products",MonashBS_MIDA2716601C,Macroeconomic,,,,,,,,,
VID33,Non-metallic mineral products,MonashBS_MIDA2716610F,Macroeconomic,,,,,,,,,
VID34,Metal products,MonashBS_MIDA2298671X,Macroeconomic,,,,,,,,,
VID35,Machinery and equipment,MonashBS_MIDA2716602F,Macroeconomic,,,,,,,,,
VID36,Job Vacancies; Australia,MonashBS_MIDA2716608V,Macroeconomic,,,,,,,,,
VID37,Aggregate Monthly Hours Worked (Emp f/t); Persons ,MonashBS_MIDA2716609W,Macroeconomic,,,,,,,,,
VID38,Aggregate Monthly Hours Worked (Emp p/t); Persons ,MonashBS_MIDA2716607T,Macroeconomic,,,,,,,,,
VID39,Employed – full-time; Persons,MonashBS_MIDA2716606R,Macroeconomic,,,,,,,,,
VID40,Employed – part-time; Persons,MonashBS_MIDA2295549R,Macroeconomic,,,,,,,,,
VID41,Unemployment rate – looking for full-time work; Persons ,MonashBS_MIDA2295570J,Macroeconomic,,,,,,,,,
VID42,Unemployed persons as percentage of labour force ,MonashBS_MIDA2295573R,Macroeconomic,,,,,,,,,
VID43,Unemployed – looking for full-time work; Persons,MonashBS_MIDA2295552C,Macroeconomic,,,,,,,,,
VID44,Unemployed – looking for part-time work; Persons,MonashBS_MIDA2295555K,Macroeconomic,,,,,,,,,
VID45,Unemployed – total; Persons,MonashBS_MIDA2295558T,Macroeconomic,,,,,,,,,
VID46,New South Wales; Number of Commitments ,MonashBS_MIDA2295561F,Macroeconomic,,,,,,,,,
VID47,Victoria; Number of Commitments ,MonashBS_MIDA2295576W,Macroeconomic,,,,,,,,,
VID48,Queensland; Number of Commitments,MonashBS_MIDA2295564L,Macroeconomic,,,,,,,,,
VID49,South Australia; Number of Commitments,MonashBS_MIDA2295582T,Macroeconomic,,,,,,,,,
VID50,Western Australia; Number of Commitments,MonashBS_MIDA2295585X,Macroeconomic,,,,,,,,,
VID51,Tasmania; Number of Commitments,MonashBS_MIDA2304200A,Macroeconomic,,,,,,,,,
VID52,Northern Territory; Number of Commitments,MonashBS_MIDA2716605L,Macroeconomic,,,,,,,,,
VID53,Australian Capital Territory; Number of Commitments ,MonashBS_MIDA2716603J,Macroeconomic,,,,,,,,,
VID54,Index; Urban transport fares,MonashBS_MIDA2716604K,Macroeconomic,,,,,,,,,
VID55,Index; Motor vehicles,MonashBS_MIDh03hist,Macroeconomic,,,,,,,,,
VID56,Index; Spare parts and accessories for motor vehicles,MonashBS_MIDA590698F,Macroeconomic,,,,,,,,,
VID57,Index; Automotive fuel,MonashBS_MIDh05hist,Macroeconomic,,,,,,,,,
