variable ID,name,Origin-Reference,Origin - People,Measure ID,Concept 1,Concept 2,Concept 3,Concept 4,Concept 5,Concept 6,Concept 7,Concept 8,Concept 9,Concept 10
VID00001,Housing Demand,"REF0001, REF0005",,MID00001,Economics,Housing,Demand,Aggregate Demand,,,,,,
VID00002,House Price,"REF0001, REF0006, REF0010",,MID00002,Economics,Housing,Price,Macroeconomics,,,,,,
VID00003,Age Cohort,REF0001,,MID00003,Economics,Age,Age Group,Cohort,,,,,,
VID00004,Case–Shiller index,REF0003,,"MID00004, MID00005",Economics,Housing,Real Estate,Index,,,,,,
VID00005,House sale price,REF0003,,,Economics,Housing,Real Estate,Pricing,Sales,,,,,
VID00006,gross domestic product (GDP) ,REF0006,,MID00007,Economics,Macroeconomiucs,Real Estate,GDP,,,,,,
VID00007,consumer price index inflation (CPI) ,REF0006,,MID00008,Economics,Macroeconomiucs,Real Estate,CPI,,,,,,
VID00008,Population,REF0006,,MID00009,Economics,Macroeconomiucs,Real Estate,Demography,,,,,,
VID00009,Unemplyment Rate,REF0006,,MID00010,Economics,Macroeconomiucs,Real Estate,Income,,,,,,
VID00010,Disposable Income,REF0006,,MID00011,Economics,Macroeconomiucs,Real Estate,Income,,,,,,
VID00011,Housing Permits,REF0006,,MID00012,Economics,Macroeconomiucs,Real Estate,Urban,,,,,,
VID00012,Mortgage Rate,REF0006,,MID00013,Economics,Macroeconomiucs,Real Estate,Rate,,,,,,
VID00013,Account Balance,REF0006,,MID00014,Economics,Macroeconomiucs,Real Estate,Current Account,,,,,,
VID00014,Exchange Rate,REF0006,,MID00015,Economics,Macroeconomiucs,Real Estate,Rate,,,,,,
VID00015,House Price Index,REF0024,,,Economics,Macroeconomiucs,Real Estate,Index,,,,,,
VID00016,House Rents,REF0024,,,Economics,Macroeconomiucs,Real Estate,House,Rentals,,,,,
VID00017,House Cost of Capital,REF0024,,,Economics,Macroeconomiucs,Real Estate,Construction,Cost of Capital,,,,,
VID00018,Demographics,REF0005,,,Economics,Macroeconomiucs,Real Estate,Demography,,,,,,
VID00019,House Willingness to Pay,REF0005,,,Economics,Macroeconomiucs,Real Estate,Demand,Willingness to pay,,,,,
VID00020,House age,REF0005,,,Economics,House,Real Estate,Urban,,,,,,
VID00021,Number of bedrooms,REF0005,,,Economics,House,Real Estate,Urban,,,,,,
VID00022,Number of other rooms ,REF0005,,,Economics,House,Real Estate,Urban,,,,,,
VID00023,Tenure ,REF0005,,,Economics,House,Real Estate,Residence,,,,,,
VID00024,House Distance to CBD,REF0005,,,Economics,House,Real Estate,Urban,,,,,,
VID00025,Population density (per square mile) ,REF0005,,,Economics,Population,Real Estate,Demography,,,,,,
VID00026,Race/Ethnicity,REF0005,,,Economics,Demography,Real Estate,Urban,,,,,,
VID00027,Marital Status ,REF0005,,,Economics,Demography,Real Estate,Population,,,,,,
VID00028,Education Level,REF0005,,,Economics,Demography,Real Estate,Population,,,,,,
VID00029,Length of Residence,REF0005,,,Economics,Demography,Real Estate,Urban,,,,,,
VID00030,Household Income,REF0005,,,Economics,Income,Real Estate,Income,,,,,,
VID00031,Housing Value per unit of land,REF0010,,,Economics,House,Real Estate,Urban,Infrastructure,,,,,
VID00032,Price per unit of land,REF0010,,,Economics,Price,Real Estate,Infrastructure,,,,,,
VID00033,Railway,REF0010,,,Economics,Urban,Real Estate,Infrastructure,,,,,,
VID00034,Highway,REF0010,,,Economics,Urban,Real Estate,Infrastructure,,,,,,
VID00035,Auction Type,REF0010,,,Economics,House sale,Real Estate,House,Auction,,,,,
VID00036,House Supply,REF0010,,,Economics,Supply,Real Estate,Macroeconomics,,,,,,
VID00037,Real Gross Domestic Product (real GDP),REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00038,CVM (Chain Volume Measure) Household Cons Food ,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00039,CVM Household Cons Cigarettes and tobacco,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00040,CVM Household Cons Alcoholic beverages,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00041,CVM Household Cons Clothing and footwear ,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00042,CVM Household Cons Rent and other dwelling services,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00043,"CVM Household Cons Electricity, gas and other fuel",REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00044,CVM Household Cons Furnishings and household equipment ,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00045,CVM Household Cons Health,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00046,CVM Household Cons Purchase of vehicles,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00047,CVM Household Cons Operation of vehicles,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00048,CVM Household Cons Transport services,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00049,CVM Household Cons Communications,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00050,CVM Household Cons Recreation and culture,REF0049,,,Economics,Macroeconomics,,,,,,,,
VID00051,CVM Household Cons Education services,REF0049,,,Economics,Macroeconomics,,,,,,,,
